no,first_name,last_name,yr,pos,app,gs,w,l,sv,cg,ip,h,r,er,bb,k,k_7,hr,era,team_name,division
28,Cadey,McDaniel,Freshman,P,22,22,14,7,0,1,130,148,95,60,18,103,5.55,10,3.23,Dyersburg State,1
11,Cora,Bogue,Freshman,INF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dyersburg State,1
21,Kassidy,Davis,Sophomore,P/OF/1st,35,27,6,14,0,11,147.2,208,123,99,37,93,4.41,22,4.69,Jackson State,1
20,Callie,Chrystak,Freshman,P/1st,37,18,3,8,0,6,127,189,131,96,16,54,2.98,14,5.29,Jackson State,1
28,Kaley,Haggard,Freshman,P/Utl,16,8,1,5,0,3,38,67,59,43,11,5,0.92,11,7.92,Jackson State,1
23,Breanna,Ramsey,Freshman,SS/Utl,1,0,0,0,0,0,1.2,1,0,0,3,1,4.2,0,0,Jackson State,1
34,Lanie,Stafford,Freshman,1st,1,0,0,0,0,0,0,1,5,5,3,0,0,0,Inf,Jackson State,1
5,Mary,Bradley,Freshman,NA,41,6,9,15,2,1,145.2,174,142,90,55,161,7.74,26,4.32,Motlow State,1
11,Hannah,Burks,Sophomore,NA,30,3,7,7,0,0,89.1,137,91,63,40,38,2.98,6,4.94,Motlow State,1
1,Susanna,Cruit,Sophomore,NA,27,1,2,6,0,0,54.2,82,68,54,33,19,2.43,13,6.91,Motlow State,1
20,Lameisha,Parker,Sophomore,NA,5,0,0,1,0,0,6.1,18,16,15,5,0,0,1,16.58,Motlow State,1
13,Michalee,Clay,Freshman,NA,3,0,0,1,0,0,2.2,8,8,6,2,0,0,0,15.75,Motlow State,1
7,Hanna,McReynolds,Freshman,P/UTL,32,9,4,17,1,3,115.2,162,124,97,46,57,3.45,18,5.87,Roane State,1
34,Whitney,Carr,Sophomore,P/UTL,32,23,3,8,1,3,76.2,134,133,111,70,32,2.92,14,10.13,Roane State,1
11,Zoie,Sullivan,Freshman,P/UTL,18,11,4,7,0,1,61,111,83,62,32,24,2.75,12,7.11,Roane State,1
20,Mercedes,Brazzell,Freshman,P/UTL,15,8,3,5,0,3,53,83,68,47,29,37,4.89,10,6.21,Roane State,1
0,Jenifer,Diehl,Freshman,P/2B,35,25,9,11,2,13,140.2,220,147,113,45,113,5.62,24,5.62,Southwest Tennessee,1
6,Cailey,Robbins,Freshman,P,37,23,8,14,0,11,128.1,226,168,132,61,43,2.35,14,7.2,Southwest Tennessee,1
3,Maleyia,Prather,Freshman,P/OF,17,5,4,6,1,0,43.1,48,36,27,18,36,5.82,2,4.36,Southwest Tennessee,1
13,Mary Faith,McCluskey,Freshman,3B/C/P,6,3,2,1,0,1,14.2,24,25,20,15,2,0.95,2,9.55,Southwest Tennessee,1
10,Addie,Middleton,Freshman,OF,3,1,0,1,0,0,1.2,9,9,8,6,1,4.2,1,33.6,Southwest Tennessee,1
28,Shelbe,Sisk,Sophomore,OF/1B,1,0,0,0,0,0,0.2,1,1,1,0,0,0,1,10.5,Southwest Tennessee,1
18,Halle Grace,Patton,Sophomore,NA,35,24,20,7,0,18,163.2,204,118,81,43,126,5.39,14,3.46,Volunteer State,1
17,Madison,Croxford,Freshman,NA,29,24,14,7,0,13,134.1,137,94,58,58,83,4.33,20,3.02,Volunteer State,1
7,Reagan,Swims,Freshman,NA,5,2,2,0,0,1,10,27,19,11,5,3,2.1,6,7.7,Volunteer State,1
24,Cheyenne,Lester,Freshman,NA,1,1,1,0,0,0,3,6,3,3,0,0,0,1,7,Volunteer State,1
24,Tori,Coffman,Freshman,P,36,31,32,1,2,21,185,90,33,30,74,296,11.2,13,1.14,Walters State,1
34,Ashley,Milligan,Sophomore,P,30,26,21,3,1,12,142.1,106,63,52,74,167,8.21,13,2.56,Walters State,1
17,Abigayle,Holt,Sophomore,P,11,1,1,0,0,1,14,15,6,1,3,4,2,1,0.5,Walters State,1
8,Adrienne,Morrison,Sophomore,P,8,0,0,0,1,0,8.1,11,2,1,4,9,7.56,0,0.84,Walters State,1
15,Haley,Guffey,Freshman,P,34,33,27,5,0,17,180,121,64,41,43,190,7.39,15,1.59,Central Florida,1
33,Anna,Toon,Sophomore,P/1B,21,13,9,3,0,5,92,86,53,35,27,80,6.09,10,2.66,Central Florida,1
16,Ashley,Martinec,Freshman,P,19,4,6,2,0,3,54.2,60,32,13,6,23,2.95,4,1.66,Central Florida,1
17,Emma,Wyman,Freshman,P,18,9,4,3,0,2,51.2,45,27,18,27,53,7.18,7,2.44,Central Florida,1
2,Gianna,Guerriero,Sophomore,OF,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,Central Florida,1
7,Charity,Bibbs,Sophomore,RHP/UT,27,22,12,9,1,12,142,120,70,51,38,106,5.23,19,2.51,Chipola,1
21,Amari,Brown,Freshman,RHP/UT,20,15,9,6,0,5,87.1,80,53,27,25,46,3.69,4,2.16,Chipola,1
26,Sydney,Watson,Sophomore,RHP,16,10,3,5,0,2,48.1,46,40,28,35,27,3.91,0,4.06,Chipola,1
99,Dymond,Roundtree,Freshman,RHP/ 1B,18,5,2,1,0,0,45.1,38,17,15,14,34,5.25,2,2.32,Chipola,1
27,Riley,Reese,Sophomore,LHP,8,1,0,2,0,0,8.2,10,15,6,3,6,4.85,0,4.85,Chipola,1
6,Hannah,Atwood,Sophomore,RHP/ UT,5,0,1,0,0,0,6,5,4,4,5,2,2.33,0,4.67,Chipola,1
21,Emma,Ream,Freshman,P,34,24,8,16,0,13,160.1,173,97,67,49,101,4.41,9,2.93,Daytona State,1
9,Madison,Mitzel,Freshman,P,31,15,11,8,0,4,103.2,153,97,77,29,27,1.82,7,5.2,Daytona State,1
19,Mariah,Rivera,Sophomore,P,25,21,6,11,0,10,97.2,140,97,64,48,32,2.29,7,4.59,Daytona State,1
4,Shelby,Harden,Freshman,,11,0,0,0,0,0,15.2,22,24,19,11,2,0.89,2,8.49,Daytona State,1
15,Mandy,Hedetniemi-Taylor,Sophomore,P,31,23,9,8,3,18,144,122,61,42,24,125,6.08,6,2.04,Eastern Florida State,1
25,Trinity,Howard,Sophomore,P,19,13,6,4,1,3,86.2,98,78,47,44,58,4.68,2,3.8,Eastern Florida State,1
10,Destiny,Lake,Freshman,P,16,8,2,4,0,1,42.2,65,53,37,18,17,2.79,0,6.07,Eastern Florida State,1
26,Kat,Wisor,Freshman,P,11,7,1,2,0,2,34,46,31,26,8,9,1.85,4,5.35,Eastern Florida State,1
61,Madisyn,Langford,Freshman,P,3,0,0,0,0,0,9,11,10,8,6,4,3.11,0,6.22,Eastern Florida State,1
18,Ariana,Gonzales,Sophomore,IF,3,0,0,0,0,0,4.1,10,4,4,1,1,1.62,0,6.46,Eastern Florida State,1
18,Belle,Sardja,Sophomore,RHP,36,29,25,2,5,18,175,131,40,22,22,121,4.84,2,0.88,Florida SouthWestern State,1
24,Lea,Chevrier,Freshman,RHP,28,12,13,2,6,4,102.2,90,40,30,41,113,7.7,6,2.05,Florida SouthWestern State,1
8,Kylee,Graham,Sophomore,LHP,22,11,12,1,2,1,64,55,28,16,25,53,5.8,0,1.75,Florida SouthWestern State,1
42,Samantha,Smith,Sophomore,RHP,12,4,3,0,0,0,24.2,24,16,12,14,21,5.96,3,3.41,Florida SouthWestern State,1
12,Esmee,Ames,Freshman,RHP,10,3,1,0,0,0,15,11,7,4,16,18,8.4,0,1.87,Florida SouthWestern State,1
1,Lexi,Shelby,Freshman,Pitcher,31,20,14,9,1,12,129.2,123,79,64,55,116,6.26,9,3.46,Gulf Coast State,1
12,Marissa,Barnes,Freshman,P/1st,27,18,7,7,1,6,98.2,92,64,51,60,83,5.89,2,3.62,Gulf Coast State,1
34,Kyrstyn,Head,Sophomore,P/DP,14,4,3,3,0,0,39.1,34,29,17,22,22,3.92,3,3.03,Gulf Coast State,1
24,Olivia,Mardirosian,Sophomore,P/U,14,4,2,2,0,1,26.2,24,25,17,14,22,5.77,1,4.46,Gulf Coast State,1
10,Bristol,Lovrekovic,Sophomore,P/DP,7,4,2,0,1,1,21.2,31,22,14,4,9,2.91,1,4.52,Gulf Coast State,1
6,Rachael,Lee,Freshman,OF,2,0,0,0,0,0,3,2,2,1,2,1,2.33,1,2.33,Gulf Coast State,1
13,Marisa,Mellone,Jr,P,23,1,5,1,2,1,104.1,108,61,43,16,61,4.09,1,2.88,Hillsborough,1
11,Ashleigh,Penix,Jr,P/ 1B,16,1,3,1,0,1,92.2,101,64,31,22,51,3.85,8,2.34,Hillsborough,1
7,Shaniyah,Pope,Sophomore,P,18,3,4,3,0,2,92.2,129,87,48,24,33,2.49,10,3.63,Hillsborough,1
1,Mackenzie,Peters,Freshman,P/SB,4,0,0,1,0,0,16,21,22,10,11,8,3.5,2,4.38,Hillsborough,1
16,Alyssa,Miranda,Freshman,P/FB,2,0,0,0,0,0,2.2,6,4,3,0,0,0,0,7.88,Hillsborough,1
27,Alina,Varga,Sophomore,P,41,5,25,7,4,5,184,136,62,43,75,205,7.8,6,1.64,Indian River State,1
7,Dominique,Prevette,Sophomore,P,31,2,20,3,3,0,132,84,38,20,32,153,8.11,4,1.06,Indian River State,1
19,Emma,Solis,Freshman,P,16,0,1,2,1,0,37.1,39,23,15,19,29,5.44,4,2.81,Indian River State,1
10,Mackenzie,Masternak,Freshman,P,11,0,1,0,0,0,20,19,23,13,17,17,5.95,2,4.55,Indian River State,1
0,Maria,Navarro,Sophomore,P,20,15,6,8,1,10,98.2,108,79,41,44,49,3.48,5,2.91,Miami Dade,1
2,Ashlyn,Blanchard,Sophomore,P,14,10,4,6,0,4,58.2,75,52,28,21,18,2.15,0,3.34,Miami Dade,1
25,Mckenna,Thompson,Sophomore,P,10,6,4,4,0,3,42.1,50,39,23,26,36,5.95,1,3.8,Miami Dade,1
17,Gina,Gallegos,Sophomore,P,14,5,0,1,0,0,35,47,34,20,14,20,4,3,4,Miami Dade,1
34,Chryssia,Catalan,Sophomore,P,4,2,0,2,0,2,21,21,17,8,12,4,1.33,1,2.67,Miami Dade,1
23,Julia,Petty,Sophomore,RHP,42,28,28,7,1,12,188.2,145,96,72,77,205,7.61,15,2.67,Northwest Florida State,1
6,Allison,Brunson,Sophomore,RHP,29,27,18,3,0,13,128.2,105,56,41,64,93,5.06,3,2.23,Northwest Florida State,1
16,Emma,Langston,Sophomore,"RHP, OF",23,4,4,0,1,3,56,46,19,16,14,57,7.13,6,2,Northwest Florida State,1
13,Rycca,Hinton,Sophomore,"RHP, UT",14,9,7,1,0,5,47.1,42,17,11,24,41,6.06,3,1.63,Northwest Florida State,1
20,Rani,Meaux,Freshman,IF,2,0,0,0,0,0,3,0,0,0,0,5,11.67,0,0,Northwest Florida State,1
14,Lydia,Drake,Sophomore,P,28,26,19,7,0,21,161,132,66,45,20,180,7.83,16,1.96,Pensacola State,1
15,Madison,Sabo,Freshman,P,17,10,7,5,0,1,65,70,45,21,10,30,3.23,7,2.26,Pensacola State,1
9,Gabriella,Lindsey,Freshman,P,16,7,4,3,0,1,53.2,54,35,18,20,39,5.09,5,2.35,Pensacola State,1
10,Presley,Williams,Sophomore,P,17,2,2,1,0,0,24,35,29,18,8,12,3.5,2,5.25,Pensacola State,1
8,Georgia,Hood,Sophomore,P/1B,3,2,1,0,0,0,8.1,6,4,3,4,8,6.72,1,2.52,Pensacola State,1
12,Cara,Willis,Freshman,OF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Pensacola State,1
52,Baileigh,Herrera,NA,NA,23,14,6,8,1,8,99.2,97,61,41,20,75,5.27,5,2.88,Polk State,1
11,Kyra,Ward,NA,NA,22,14,5,10,0,8,96,91,71,55,42,80,5.83,1,4.01,Polk State,1
16,Kailey,Guethle,NA,NA,14,7,6,5,0,4,53.2,53,38,17,15,35,4.57,2,2.22,Polk State,1
21,Jacey,Bisbee,NA,NA,4,3,0,2,0,0,10.2,19,13,11,7,1,0.66,1,7.22,Polk State,1
20,Kensley,Durrance,Sophomore,,30,24,15,9,1,14,155,147,67,47,40,116,5.24,9,2.12,Santa Fe,1
13,Sophie,Abrams,Sophomore,P,31,23,11,9,1,7,131,142,88,66,63,59,3.15,8,3.53,Santa Fe,1
14,Sydney,Fowler,Freshman,,15,5,3,3,1,1,45.2,48,24,20,12,24,3.68,7,3.07,Santa Fe,1
12,Calen,Hayes,Sophomore,,7,0,0,1,0,0,8.1,10,10,8,2,1,0.84,3,6.72,Santa Fe,1
27,Darian,Ingram,Sophomore,P,4,0,1,0,0,0,6,2,5,5,8,12,14,1,5.83,Santa Fe,1
11,Keivana,Durand,Sophomore,NA,31,25,19,8,1,18,164,124,68,51,40,178,7.6,10,2.18,Seminole State (FL),1
9,Tori,Beland,Freshman,NA,23,15,13,5,1,9,105.1,99,51,28,29,71,4.72,5,1.86,Seminole State (FL),1
7,Angelina,Badalament,Sophomore,NA,20,18,13,1,0,9,99.2,85,35,28,37,72,5.06,3,1.97,Seminole State (FL),1
22,Brianna,Johnsen,Freshman,NA,8,1,0,0,0,0,12,18,12,6,7,3,1.75,3,3.5,Seminole State (FL),1
12,Dazha,Durand,Sophomore,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seminole State (FL),1
11,Justice,McCraine,Sophomore,P,35,13,12,6,4,4,127,158,84,58,39,61,3.36,3,3.2,St. Petersburg,1
10,Kaylee,Childers,Freshman,P,25,18,11,3,0,6,85.1,112,56,47,30,37,3.04,4,3.86,St. Petersburg,1
24,Kassidy,Goopaster,Freshman,P,20,13,5,8,0,2,60.2,94,49,38,9,44,5.08,1,4.38,St. Petersburg,1
9,Sydney,Sackett,Freshman,P,17,6,4,1,0,0,37,71,43,32,17,10,1.89,3,6.05,St. Petersburg,1
6,Karsyn,Rutherford,Freshman,P/UT,25,19,5,3,0,13,119.1,154,96,53,22,45,2.64,4,3.11,State College of Florida,1
19,Brielle,Bostow,Freshman,P/UT,27,22,4,4,0,8,101.2,127,91,52,37,55,3.79,7,3.58,State College of Florida,1
22,Sam,Carlin,Sophomore,P/UT,22,6,5,2,1,1,71,109,79,43,19,28,2.76,4,4.24,State College of Florida,1
7,Brittany,Michael,Sophomore,P,19,13,8,7,0,8,89,82,43,32,22,75,5.9,7,2.52,Tallahassee,1
10,Sydney,Ray,Sophomore,P,22,15,4,3,0,4,75,62,41,24,34,60,5.6,2,2.24,Tallahassee,1
25,Kailynn,James,Sophomore,P,14,9,3,5,1,5,57.1,53,28,23,20,28,3.42,5,2.81,Tallahassee,1
8,Jolee,Camp,Freshman,P,15,5,5,5,1,1,53.1,52,22,10,13,44,5.77,0,1.31,Tallahassee,1
6,Teagan,Kehm,Freshman,RHP,25,21,1,12,0,7,78.2,226,249,180,76,17,1.51,24,16.02,Lamar,1
12,Arika,Tercero,Freshman,RHP,21,16,2,14,0,3,55.2,151,196,134,79,22,2.77,12,16.85,Lamar,1
2,Abcde,Garcia,Sophomore,IF,22,2,1,2,0,0,33,105,109,64,24,9,1.91,16,13.58,Lamar,1
22,Mia,Knight,Sophomore,IF,18,3,0,3,0,1,26,78,103,80,43,10,2.69,11,21.54,Lamar,1
1,Aubree,Leyba,Sophomore,OF,3,0,0,0,0,0,3.1,6,8,8,5,0,0,2,16.8,Lamar,1
24,Alex,Villafranca,Freshman,3B,1,0,0,0,0,0,1,6,4,4,1,0,0,1,28,Lamar,1
23,Elisha,Velasquez,Freshman,UT,28,1,9,4,0,1,127.2,205,138,114,67,110,6.03,12,6.25,Luna,1
27,Reegan,Wilson,Sophomore,UT,18,2,1,4,0,2,63,152,125,93,32,23,2.56,4,10.33,Luna,1
29,Valaree,Manzanares,Sophomore,UT,17,1,1,2,0,0,44,77,64,49,16,16,2.55,3,7.8,Luna,1
1,Madelyn,Johnson,Sophomore,UT,9,0,1,2,0,0,17.2,42,39,26,7,3,1.19,7,10.3,Luna,1
28,Angelica,Ortiz,Freshman,UT,1,0,0,0,0,0,5,13,10,9,2,2,2.8,1,12.6,Luna,1
11,Angelica,Angel,Sophomore,UT,3,0,0,1,0,0,2,9,7,7,1,0,0,0,24.5,Luna,1
22,Judith,Ayala,Freshman,UT,2,0,0,0,0,0,1,5,3,1,3,0,0,0,7,Luna,1
4,Keira,Touchton,Sophomore,UT,1,0,0,0,0,0,1,1,1,0,2,1,7,0,0,Luna,1
14,Ella,Covill-Marter,Freshman,P/IB,34,28,12,10,0,20,174,199,149,103,52,235,9.45,33,4.14,McCook,1
13,Hailee,Ruble,Sophomore,P/IB,26,15,7,10,0,9,96.2,157,127,79,49,50,3.62,14,5.72,McCook,1
32,Isabella,Robertson,Freshman,P,23,15,6,7,0,5,86.2,115,85,74,38,52,4.2,22,5.98,McCook,1
15,Delaney,Barrett,Sophomore,P,31,20,19,4,1,18,148.2,195,121,92,61,49,2.31,9,4.33,Northeastern,1
21,Michaela,Moorehouse,Sophomore,P/OF,23,21,13,2,0,16,110.2,175,130,103,59,36,2.28,10,6.52,Northeastern,1
21,Courtney,Miller,Sophomore,P/1B,36,0,5,2,0,0,150.1,269,262,133,78,65,3.03,45,6.19,Otero,1
30,Kayla,Crocker,Freshman,3B/P,16,0,0,0,0,0,68.1,113,113,80,66,17,1.74,17,8.2,Otero,1
3,Jaelyn,Montoya,Freshman,OF/P,22,3,0,3,0,0,40,78,75,50,28,11,1.93,16,8.75,Otero,1
12,Sidney,Larrew,Freshman,OF/MI,17,0,0,0,0,0,26,44,58,47,38,8,2.15,7,12.65,Otero,1
11,Brooklyn,Ruiz,Sophomore,MI,2,1,0,1,0,0,2.2,10,17,14,7,0,0,2,36.75,Otero,1
6,Kaylynn,Du Preez,Sophomore,OF,1,0,0,0,0,0,0,0,3,3,3,0,0,0,Inf,Otero,1
7,Delilah,Segoviano,Freshman,OF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Otero,1
13,Torie,Sandoval,Freshman,P,34,1,22,6,0,1,166,150,90,56,48,185,7.8,14,2.36,Trinidad State,1
8,Kirstin,Ferguson,Sophomore,P,25,0,14,5,0,0,108,92,82,53,65,102,6.61,7,3.44,Trinidad State,1
3,Hannah,Crouch,Sophomore,P,16,1,2,2,0,0,34,42,35,24,19,42,8.65,5,4.94,Trinidad State,1
1,Jenisah,Mora,Freshman,SS,2,0,0,0,0,0,3,13,10,5,5,3,7,1,11.67,Trinidad State,1
17,Caley,Leslie,Sophomore,P,36,16,6,12,0,8,119.1,252,217,154,72,47,2.76,28,9.03,Western Nebraska,1
1,DesaRae,Woolsey,Sophomore,P,31,23,4,15,0,6,101.1,197,183,146,58,48,3.32,32,10.09,Western Nebraska,1
23,Avery,Fox,Sophomore,P,10,8,1,8,0,3,37,67,46,37,19,22,4.16,8,7,Western Nebraska,1
10,Kyla,Quiles,Freshman,RHP,31,19,4,2,2,9,137.2,115,94,61,57,141,7.17,19,3.1,Florence-Darlington Tech,1
27,Deja,Smith,Sophomore,LHP,26,13,4,2,1,8,87,96,89,52,52,58,4.67,11,4.18,Florence-Darlington Tech,1
14,Kiley,Holland,Freshman,RHP,19,13,2,0,1,3,67.1,93,58,41,28,19,1.98,6,4.26,Florence-Darlington Tech,1
12,Brantleigh,Parrott,Freshman,NA,36,18,24,1,6,14,166.2,76,17,13,25,305,12.81,4,0.55,Gaston College,1
27,Amiya,Tomlinson,Freshman,NA,27,21,9,4,0,1,95.1,120,113,68,88,58,4.26,7,4.99,Gaston College,1
18,Tessa,Hunt,Freshman,NA,22,14,9,5,0,2,83,125,86,64,21,45,3.8,9,5.4,Gaston College,1
25,Madie,Andrews,Sophomore,P/1B,23,0,8,3,1,0,135.1,167,103,66,33,87,4.5,14,3.41,Spartanburg Methodist,1
8,Samantha,Carver,Sophomore,P/2B,22,1,6,3,0,1,102.2,173,111,69,10,47,3.2,12,4.7,Spartanburg Methodist,1
33,Kennedy,Broyles,Freshman,P/CIF,8,0,2,2,1,0,23.2,50,35,31,6,12,3.55,2,9.17,Spartanburg Methodist,1
16,Gracie,Cobb,Sophomore,1B/P,3,0,0,0,0,0,6,11,9,9,7,2,2.33,1,10.5,Spartanburg Methodist,1
17,Kaylee,Barrett,Freshman,2nd/RHP,22,14,0,11,1,8,77.1,179,161,125,38,20,1.81,14,11.31,USC Sumter,1
29,Aubrey,Brown,Sophomore,RHP,17,12,1,9,0,5,63.1,140,123,76,27,33,3.65,10,8.4,USC Sumter,1
18,Savannah,Coyne,,RHP/UT,3,3,0,3,0,1,16.2,52,37,19,5,10,4.2,2,7.98,USC Sumter,1
27,Madison,Starling-Martin,Freshman,3rd,1,1,0,1,0,0,3,16,14,12,1,0,0,0,28,USC Sumter,1
13,Alexandra,Bell,Sophomore,RHP,24,13,16,4,0,12,139.1,145,78,33,23,122,6.13,8,1.66,USC Union,1
27,Brianna,Compton,Freshman,RHP/UTL,23,9,4,9,0,6,89,129,111,40,40,52,4.09,7,3.15,USC Union,1
15,Gillian,Hughes,Freshman,RHP,15,7,1,5,0,2,47,63,55,20,25,25,3.72,8,2.98,USC Union,1
7,Katelyn,Turner,Freshman,LHP,11,2,1,1,1,0,26,45,31,15,8,11,2.96,1,4.04,USC Union,1
23,Gracie,Starnes,Freshman,"OF, RHP",7,6,0,4,0,0,14.2,33,28,16,11,7,3.34,1,7.64,USC Union,1
20,Madie,Anderson,Sophomore,RHP,30,29,20,5,0,17,164,109,51,40,49,131,5.59,14,1.71,Indian Hills,1
11,Ryann,Cheek,Sophomore,LHP,24,13,11,3,3,4,72,35,18,12,16,79,7.68,4,1.17,Indian Hills,1
8,Sara,Reid,Freshman,RHP,23,9,6,1,0,1,52,65,44,26,16,32,4.31,3,3.5,Indian Hills,1
6,Thea,Banning,Freshman,RHP,19,5,6,2,1,0,40,65,36,19,11,30,5.25,3,3.32,Indian Hills,1
3,TJ,Stoaks,Sophomore,OF/RHP,12,1,3,0,1,0,26,20,7,5,22,18,4.85,0,1.35,Indian Hills,1
12,Maddison,Depencier,Freshman,RHP,27,21,12,7,0,10,118.2,131,92,79,73,125,7.37,9,4.66,Iowa Western,1
3,Erin,Kirkland,Freshman,RHP,23,15,4,6,0,3,86,114,78,61,39,64,5.21,11,4.97,Iowa Western,1
4,Jacee,Carlow,Freshman,RHP,20,5,7,5,0,2,58.2,56,53,38,42,62,7.4,9,4.53,Iowa Western,1
20,Cara,Linnenkamp,Sophomore,P/3B,32,13,8,1,0,6,108.2,99,50,44,30,110,7.09,10,2.83,Southeastern,1
3,Kylie,Schult,Freshman,,23,17,6,4,1,4,76.2,112,75,52,37,36,3.29,5,4.75,Southeastern,1
17,Kayla,Norton,Sophomore,P,18,14,1,3,1,4,68,81,51,43,21,34,3.5,14,4.43,Southeastern,1
19,Kiley,McConville,Sophomore,,5,0,0,0,3,0,8.1,3,1,1,1,9,7.56,0,0.84,Southeastern,1
15,Mikayla,Doucette,Freshman,,1,0,0,0,0,0,1,2,0,0,1,2,14,0,0,Southeastern,1
12,Taryn,Ganstrom,Freshman,,35,27,9,20,0,11,142.2,226,197,155,63,52,2.55,24,7.61,Southwestern,1
29,Emily,McIntosh,Sophomore,RHP,34,18,5,12,2,11,125.1,191,148,110,45,43,2.4,30,6.14,Southwestern,1
13,Jennifer,Katz,Sophomore,,6,3,0,2,0,0,8.2,20,33,31,20,3,2.42,3,25.04,Southwestern,1
13,Alexis,Obregon,Sophomore,P,28,23,11,5,0,13,125.2,134,63,47,66,41,2.28,4,2.62,Alvin,1
10,Hayley,Calhoun,Freshman,P,21,15,4,8,0,5,60.1,92,74,57,32,35,4.06,4,6.61,Alvin,1
16,Celeste,Gonzales,Freshman,P,21,4,3,4,0,1,46.1,62,48,40,27,19,2.87,4,6.04,Alvin,1
15,Abby,House,Freshman,P,20,6,1,3,0,0,44,69,54,34,29,13,2.07,1,5.41,Alvin,1
10,Mia,Gilmore,Sophomore,P,29,22,14,8,0,15,150,180,91,58,26,94,4.39,6,2.71,Angelina,1
19,Morgan,Louviere,Sophomore,P,26,17,5,4,1,4,93.2,127,68,45,26,41,3.06,7,3.36,Angelina,1
24,Haley,Primrose,Sophomore,P/UTL,14,11,2,3,0,4,51,58,60,31,30,43,5.9,5,4.25,Angelina,1
25,Gianna,Wade,Sophomore,P,13,0,1,0,0,0,19.1,16,10,6,16,16,5.79,2,2.17,Angelina,1
6,Chloee,Mason,Sophomore,P,24,21,10,9,1,12,123.1,123,64,49,40,83,4.71,7,2.78,Blinn,1
14,Peyton,Welker,Freshman,P,22,19,10,8,0,10,98.2,97,56,50,48,73,5.18,9,3.55,Blinn,1
16,Sydnie,Cline,Freshman,P/UT,14,5,4,2,1,2,38.1,54,37,33,20,22,4.02,7,6.03,Blinn,1
4,Skylar,Shanahan,Sophomore,P/UT,13,3,2,1,0,1,26,37,28,25,21,17,4.58,5,6.73,Blinn,1
3,Kailey,Eldridge,Sophomore,P,9,0,1,1,0,0,16.1,26,20,13,15,8,3.43,0,5.57,Blinn,1
2,Camdyn,Shugart,Freshman,P/UT,6,2,1,1,0,1,15.1,22,14,11,8,4,1.83,0,5.02,Blinn,1
3,Macie,LaRue,Freshman,P,27,23,15,6,0,7,126.2,102,55,49,46,165,9.12,12,2.71,Bossier Parish,1
22,Mallory,Pitre,Sophomore,P,35,27,16,7,0,6,124.2,116,64,49,44,161,9.04,10,2.75,Bossier Parish,1
1,Brielle,Moreno,Freshman,,26,7,10,2,1,3,77,65,36,27,27,61,5.55,4,2.45,Bossier Parish,1
99,Olivia,Ross,Freshman,P,20,4,2,1,0,0,36.2,52,30,24,9,42,8.02,2,4.58,Bossier Parish,1
11,Rylee,Glenn,Freshman,P,18,1,2,0,0,0,34.1,44,22,18,21,14,2.85,1,3.67,Bossier Parish,1
10,Morgan,Benge,Freshman,P/OF,8,0,0,1,0,0,13,14,8,7,5,14,7.54,1,3.77,Bossier Parish,1
8,Emma,Garcia,Freshman,P,12,9,2,3,0,8,60.2,83,73,53,23,27,3.12,9,6.12,Coastal Bend,1
7,Danielle,Pompa,Freshman,,12,10,1,3,0,5,48.2,100,76,42,33,11,1.58,0,6.04,Coastal Bend,1
11,Debra,Favors,Freshman,P,12,8,0,2,0,6,36.1,95,85,56,23,16,3.08,1,10.79,Coastal Bend,1
24,Elia,Palomo,Sophomore,C,4,2,0,0,0,1,15,28,18,10,10,6,2.8,1,4.67,Coastal Bend,1
15,Krystal,Kutach,Freshman,IF,2,0,0,0,0,0,5.2,12,15,5,6,0,0,2,6.18,Coastal Bend,1
2,Anamelia,Ramirez,Freshman,OF,1,1,0,0,0,0,0.1,1,4,4,5,0,0,0,84,Coastal Bend,1
24,Gabriella,Guzman,Sophomore,NA,25,24,17,5,1,18,139.2,142,92,79,45,88,4.41,14,3.96,Galveston,1
15,Karlie,Barba,Freshman,NA,22,16,14,3,1,13,104,93,58,51,57,65,4.38,7,3.43,Galveston,1
10,Abigayle,Woodson,Freshman,NA,16,9,7,3,1,5,72.1,96,65,59,32,56,5.42,12,5.71,Galveston,1
15,Alissa,McClellan,Freshman,3B,26,0,3,12,0,0,97.1,137,104,66,33,59,4.24,12,4.75,Kilgore,1
20,Kaylee,Schmitz,Freshman,P,20,0,1,12,0,0,81,99,90,59,42,69,5.96,10,5.1,Kilgore,1
19,Brooklyn,Pope,Freshman,P,13,0,0,0,0,0,23,38,38,28,16,9,2.74,1,8.52,Kilgore,1
16,Olivia,Gilzow,Freshman,P,11,1,0,2,0,0,21.2,28,35,22,15,5,1.62,0,7.11,Kilgore,1
25,Isabella,Garley,Freshman,P,4,0,0,2,0,0,12.2,23,23,18,8,3,1.66,1,9.95,Kilgore,1
18,Audrey,Gilzow,Freshman,3B,10,0,0,0,0,0,12,24,26,19,10,6,3.5,3,11.08,Kilgore,1
22,Katelyn,Segura,Sophomore,P,10,0,0,1,0,0,10.1,20,21,16,6,1,0.68,2,10.84,Kilgore,1
